struttura_nome,nome_appartamento,unit_label,tipologia,month,avg_price,min_price,max_price,weekend_avg,weekday_avg,min_stay_values,closed_days,priced_days,rack_rate,room_min_stay,source_updated_at
Cattolica,Cattolica - Via Amalfi 5 con Balcone,Default,Appartamento,giugno,62.17,25,185.9,84.84,53.92,1/2/3,26,30,400,1,2026-06-19T11:58:18.355+00:00
Cattolica,Cattolica - Via Amalfi 5 con Balcone,Default,Appartamento,luglio,302.16,170,494.67,388.32,266.92,3,3,31,400,1,2026-06-19T11:58:18.355+00:00
Cattolica,Cattolica - Via Amalfi 5 con Cortile,Default,Appartamento,giugno,,,,,,,0,0,400,1,
Cattolica,Cattolica - Via Amalfi 5 con Cortile,Default,Appartamento,luglio,,,,,,,0,0,400,1,
Cattolica,Cattolica - Via Bovio 25,Default,Appartamento,giugno,,,,,,,0,0,400,1,
Cattolica,Cattolica - Via Bovio 25,Default,Appartamento,luglio,,,,,,,0,0,400,1,
Cattolica,Cattolica - Via Bovio 3,Default,Appartamento,giugno,,,,,,,0,0,400,1,
Cattolica,Cattolica - Via Bovio 3,Default,Appartamento,luglio,,,,,,,0,0,400,1,
Cattolica,Cattolica - Via Carducci 19,Default,Bilocale,giugno,148.44,26.73,400,145.41,149.55,1/2/3,22,30,400,1,2026-06-18T19:41:57.375+00:00
Cattolica,Cattolica - Via Carducci 19,Default,Bilocale,luglio,333.55,225,450,363.33,321.36,2/3,0,31,400,1,2026-06-18T19:41:57.375+00:00
Cattolica,Cattolica - Via Cesare Battisti 51,Default,Appartamento,giugno,,,,,,,0,0,0,1,
Cattolica,Cattolica - Via Cesare Battisti 51,Default,Appartamento,luglio,,,,,,,0,0,0,1,
Cattolica,Cattolica - Via Cremona 2/c interno 1 con Balcone Davanti,Default,Appartamento,giugno,123.27,20.25,400,108.21,128.74,1/2/3,20,30,400,1,2026-06-19T14:04:03.703+00:00
Cattolica,Cattolica - Via Cremona 2/c interno 1 con Balcone Davanti,Default,Appartamento,luglio,250,250,250,250,250,3,0,31,400,1,2026-06-19T14:04:03.703+00:00
Cattolica,Cattolica - Via Cremona 2/c interno 2 con Balcone Interno,Default,Appartamento,giugno,75.34,25,159,95.25,68.1,1/2/3,21,30,400,1,2026-06-19T02:00:09.122+00:00
Cattolica,Cattolica - Via Cremona 2/c interno 2 con Balcone Interno,Default,Appartamento,luglio,214.52,150,250,205.56,218.18,3,1,31,400,1,2026-06-19T02:00:09.122+00:00
Cattolica,Cattolica - Via Donizetti 13/a,Default,Appartamento,giugno,46.89,9,132,63.53,40.84,1/2/3,16,30,400,1,2026-06-19T02:00:13.67+00:00
Cattolica,Cattolica - Via Donizetti 13/a,Default,Appartamento,luglio,214.8,132,346.32,276.96,189.38,3,0,31,400,1,2026-06-19T02:00:13.67+00:00
